,Run1 (ms),Run2 (ms),Run3 (ms),Run4 (ms),Id
0,151.30942,151.30942,151.21764,151.51134,Id_1
1,272.31064,272.31064,272.2951,271.98947,Id_2
2,191.65631,191.65631,191.12823,193.37862,Id_3
3,196.46735,196.46735,196.1597,196.60432,Id_4
4,166.1524,166.1524,165.31447,165.32124,Id_5
5,256.63162,256.63162,257.95996,257.42944,Id_6
6,257.21127,257.21127,257.33804,256.55685,Id_7
7,179.27797,179.27797,178.305,179.87143,Id_8
8,213.3409,213.3409,218.85457,212.40201,Id_9
9,241.44917,241.44917,240.96762,241.10718,Id_10
10,214.29373,214.29373,213.58797,218.60406,Id_11
11,178.1711,178.1711,177.98317,178.36676,Id_12
12,241.57846,241.57846,241.10992,241.21248,Id_13
13,195.87546,195.87546,196.61987,196.81596,Id_14
14,185.95274,185.95274,185.88187,185.42552,Id_15
15,220.31549,220.31549,220.40773,220.55919,Id_16
16,188.21922,188.21922,188.23671,188.8613,Id_17
17,171.62436,171.62436,170.70119,171.56067,Id_18
18,184.97894,184.97894,185.13126,185.75047,Id_19
19,182.3108,182.3108,182.10648,182.70413,Id_20
20,141.02321,141.02321,143.69104,142.826,Id_21
21,168.32599,168.32599,168.3658,168.88205,Id_22
22,179.53178,179.53178,179.968,180.74234,Id_23
23,147.09354,147.09354,145.7252,145.24974,Id_24
24,162.62555,162.62555,162.02559,162.82356,Id_25
25,193.73952,193.73952,197.73927,192.37602,Id_26
26,296.81543,296.81543,296.58112,297.00412,Id_27
27,188.83435,188.83435,188.53777,186.457,Id_28
28,212.86891,212.86891,213.10939,211.60135,Id_29
29,201.96352,201.96352,200.8353,202.11778,Id_30
30,198.11713,198.11713,196.5846,197.40546,Id_31
31,179.72272,179.72272,182.01495,181.78403,Id_32
32,190.44308,190.44308,191.32684,191.1247,Id_33
33,260.05115,260.05115,257.13058,256.61395,Id_34
34,183.00513,183.00513,182.6897,181.98665,Id_35
35,181.13782,181.13782,181.24692,179.53265,Id_36
36,225.21968,225.21968,227.70995,226.39307,Id_37
37,294.19046,294.19046,294.10898,293.35605,Id_38
38,193.4934,193.4934,194.59544,193.36034,Id_39
39,178.75085,178.75085,178.95067,178.08931,Id_40
40,257.21646,257.21646,257.48346,256.69437,Id_41
41,302.51794,302.51794,300.83136,303.6037,Id_42
42,155.48766,155.48766,155.40735,155.13588,Id_43
43,160.5582,160.5582,160.6579,160.7721,Id_44
44,259.3707,259.3707,258.8613,258.9871,Id_45
45,293.0401,293.0401,294.74103,294.2114,Id_46
46,190.49577,190.49577,189.46411,188.89867,Id_47
47,293.7054,293.7054,292.7751,293.42664,Id_48
48,331.41675,331.41675,333.0544,333.6209,Id_49
49,239.88347,239.88347,240.99199,241.00934,Id_50
50,237.50249,237.50249,236.84535,237.17232,Id_51
51,207.16289,207.16289,213.64915,217.3193,Id_52
52,240.01588,240.01588,239.96072,240.81595,Id_53
53,236.3039,236.3039,235.8357,235.80103,Id_54
54,196.16812,196.16812,196.0815,196.10059,Id_55
55,342.6195,342.6195,342.94028,342.76147,Id_56
56,190.68878,190.68878,194.57317,190.52122,Id_57
57,223.25746,223.25746,222.04988,223.47565,Id_58
58,200.82686,200.82686,199.75194,201.21332,Id_59
59,335.5482,335.5482,336.49283,338.09,Id_60
60,179.69995,179.69995,176.46028,179.73486,Id_61
61,198.31425,198.31425,199.22273,199.9487,Id_62
62,333.53842,333.53842,334.93356,334.87195,Id_63
63,265.69183,265.69183,267.32425,263.18372,Id_64
64,295.18542,295.18542,294.43613,296.32208,Id_65
65,274.6321,274.6321,272.7125,271.68414,Id_66
66,297.26242,297.26242,296.93475,297.4443,Id_67
67,249.93762,249.93762,248.51613,250.37573,Id_68
68,376.8178,376.8178,377.50974,376.29034,Id_69
69,391.1702,391.1702,390.31607,390.74323,Id_70
70,186.76912,186.76912,188.46004,186.08713,Id_71
71,279.676,279.676,281.2355,280.93192,Id_72
72,281.5264,281.5264,281.25107,282.03223,Id_73
73,198.98552,198.98552,198.4753,198.29865,Id_74
74,334.19193,334.19193,333.44305,333.68246,Id_75
75,226.84245,226.84245,228.90738,227.47444,Id_76
76,218.17981,218.17981,216.45532,216.7481,Id_77
77,253.81339,253.81339,252.19553,254.30908,Id_78
78,233.89758,233.89758,232.89241,234.25397,Id_79
79,252.0404,252.0404,252.01213,250.70625,Id_80
80,305.26514,305.26514,304.5178,305.34073,Id_81
81,181.75424,181.75424,180.33455,180.84785,Id_82
82,260.56586,260.56586,260.779,260.3004,Id_83
83,260.53452,260.53452,261.0433,261.62375,Id_84
84,259.28992,259.28992,259.2174,260.56067,Id_85
85,219.13371,219.13371,215.63217,213.69403,Id_86
86,226.16516,226.16516,226.5937,226.70918,Id_87
87,266.54483,266.54483,267.96115,267.1298,Id_88
88,259.444,259.444,261.4361,260.7075,Id_89
89,180.62744,180.62744,180.29514,182.3623,Id_90
90,190.64679,190.64679,188.37888,189.95906,Id_91
91,189.02353,189.02353,190.06302,189.52231,Id_92
92,197.72981,197.72981,196.74078,197.93294,Id_93
93,161.70163,161.70163,163.02301,164.32921,Id_94
94,199.97523,199.97523,199.59938,197.83052,Id_95
95,252.41055,252.41055,252.7348,252.56055,Id_96
96,210.6556,210.6556,207.11588,206.02173,Id_97
97,178.82658,178.82658,178.24344,177.8927,Id_98
98,241.47481,241.47481,241.39992,241.15146,Id_99
99,226.05267,226.05267,225.82039,227.8049,Id_100
100,168.5079,168.5079,168.89217,167.94196,Id_101
101,286.91153,286.91153,287.0835,286.6736,Id_102
102,168.06366,168.06366,168.48189,167.82805,Id_103
103,285.41003,285.41003,285.64835,285.40378,Id_104
104,190.7687,190.7687,191.67642,192.17445,Id_105
105,166.93968,166.93968,167.51982,166.95,Id_106
106,208.49445,208.49445,206.16351,206.64078,Id_107
107,267.6357,267.6357,267.1388,267.69846,Id_108
108,197.47336,197.47336,198.95688,197.70572,Id_109
109,190.41492,190.41492,192.54926,190.97038,Id_110
110,291.60635,291.60635,292.17648,292.07626,Id_111
111,211.38043,211.38043,211.29042,210.68993,Id_112
112,178.10933,178.10933,179.2919,178.99214,Id_113
113,291.9102,291.9102,291.63263,291.69342,Id_114
114,229.6164,229.6164,228.12378,231.65686,Id_115
115,280.37378,280.37378,279.95493,280.1312,Id_116
116,215.06244,215.06244,215.1606,214.40018,Id_117
117,209.7115,209.7115,208.1698,208.40509,Id_118
118,196.74934,196.74934,196.25082,197.93915,Id_119
119,267.14874,267.14874,267.44257,267.10315,Id_120
120,151.88982,151.88982,151.13289,151.96902,Id_121
121,180.4927,180.4927,179.96782,179.89665,Id_122
122,189.8642,189.8642,190.13435,190.24023,Id_123
123,196.86517,196.86517,196.7583,196.92659,Id_124
124,241.77025,241.77025,240.81447,240.62486,Id_125
125,338.89572,338.89572,340.0505,340.18942,Id_126
126,250.66936,250.66936,250.51907,253.82202,Id_127
127,332.75507,332.75507,333.67743,333.53607,Id_128
128,296.10822,296.10822,296.23834,296.5862,Id_129
129,298.09235,298.09235,297.31174,299.70676,Id_130
130,186.84366,186.84366,188.08437,187.02026,Id_131
131,232.08421,232.08421,231.0293,231.52878,Id_132
132,305.86646,305.86646,306.2644,306.24747,Id_133
133,253.6736,253.6736,253.30717,253.84038,Id_134
134,242.41444,242.41444,242.6118,242.67104,Id_135
135,313.96124,313.96124,313.3604,313.64017,Id_136
136,244.04405,244.04405,245.21638,244.6734,Id_137
137,177.12721,177.12721,178.72923,178.09639,Id_138
138,189.48131,189.48131,189.0229,189.38914,Id_139
139,227.62482,227.62482,229.1523,229.13878,Id_140
140,169.89969,169.89969,170.9986,170.6355,Id_141
141,182.522,182.522,181.14804,181.5613,Id_142
142,269.21603,269.21603,269.39627,269.3819,Id_143
143,183.37886,183.37886,183.15997,182.75475,Id_144
144,191.64926,191.64926,189.49174,190.89851,Id_145
145,160.7933,160.7933,159.7872,160.76447,Id_146
146,172.41301,172.41301,171.66858,172.01357,Id_147
147,205.04189,205.04189,201.61816,205.67319,Id_148
148,241.3835,241.3835,241.30028,241.45358,Id_149
149,161.07365,161.07365,160.96892,158.8621,Id_150
150,301.80142,301.80142,301.4097,302.3763,Id_151
151,158.75482,158.75482,158.96,159.82957,Id_152
152,305.13776,305.13776,304.47144,305.38718,Id_153
153,292.87576,292.87576,293.25925,292.43674,Id_154
154,168.91725,168.91725,168.72818,168.56393,Id_155
155,276.78918,276.78918,276.28006,276.3205,Id_156
156,180.02698,180.02698,179.89606,179.61133,Id_157
157,267.79266,267.79266,267.2309,267.80606,Id_158
158,201.60576,201.60576,200.51653,199.25499,Id_159
159,184.76776,184.76776,185.0356,185.00539,Id_160
160,298.01367,298.01367,297.37204,298.43018,Id_161
161,169.8224,169.8224,169.44861,170.56485,Id_162
162,184.14922,184.14922,184.38838,183.17384,Id_163
163,288.59674,288.59674,288.64157,288.02643,Id_164
164,178.61916,178.61916,177.82681,177.68863,Id_165
165,171.92017,171.92017,173.80823,172.43738,Id_166
166,176.12106,176.12106,180.37773,176.1889,Id_167
167,290.34448,290.34448,289.4529,290.12378,Id_168
168,197.9249,197.9249,197.6772,195.8006,Id_169
169,161.45355,161.45355,161.46553,161.09021,Id_170
170,198.61382,198.61382,198.37167,200.425,Id_171
171,249.3292,249.3292,250.21053,249.19772,Id_172
172,233.01277,233.01277,234.12921,232.98546,Id_173
173,236.13939,236.13939,236.45566,236.53517,Id_174
174,232.88855,232.88855,232.99886,233.21223,Id_175
175,225.49947,225.49947,224.61061,224.76617,Id_176
176,190.18942,190.18942,181.71552,188.85968,Id_177
177,240.27565,240.27565,239.42679,240.83307,Id_178
178,201.19667,201.19667,199.95816,200.14548,Id_179
179,299.81552,299.81552,299.7161,301.39517,Id_180
180,333.77838,333.77838,336.09756,335.19745,Id_181
181,259.0271,259.0271,258.73383,256.61588,Id_182
182,205.28802,205.28802,208.22383,205.36942,Id_183
183,268.98428,268.98428,270.11484,268.35748,Id_184
184,294.3507,294.3507,293.68475,293.51086,Id_185
185,213.9629,213.9629,214.12209,213.29604,Id_186
186,242.07742,242.07742,242.89012,244.70615,Id_187
187,253.5607,253.5607,254.026,252.73549,Id_188
188,188.59386,188.59386,189.15877,187.76408,Id_189
189,208.93138,208.93138,207.10938,207.38704,Id_190
190,338.57727,338.57727,338.7067,339.17273,Id_191
191,221.80801,221.80801,221.19197,222.36061,Id_192
192,332.58755,332.58755,332.00214,332.25427,Id_193
193,299.17798,299.17798,299.0533,299.32755,Id_194
194,207.71661,207.71661,207.14424,205.80562,Id_195
195,244.68935,244.68935,242.85669,244.07713,Id_196
196,186.86952,186.86952,184.69287,184.58423,Id_197
197,224.40164,224.40164,223.6993,222.98569,Id_198
198,183.90698,183.90698,183.34393,181.5952,Id_199
199,228.45793,228.45793,227.0782,226.73476,Id_200
200,253.50737,253.50737,255.09494,253.53221,Id_201
201,211.46643,211.46643,208.793,208.93777,Id_202
202,171.96199,171.96199,171.24919,168.3386,Id_203
203,180.4086,180.4086,181.58698,181.85506,Id_204
204,187.81743,187.81743,188.31549,188.67351,Id_205
205,170.67943,170.67943,172.15717,170.72691,Id_206
206,152.95245,152.95245,153.85349,154.7432,Id_207
207,176.57578,176.57578,176.24255,176.29628,Id_208
208,170.02975,170.02975,170.76094,172.77986,Id_209
209,178.12329,178.12329,177.84035,177.97354,Id_210
210,185.68889,185.68889,186.28497,184.9631,Id_211
211,292.29144,292.29144,292.12753,292.34802,Id_212
212,182.20525,182.20525,180.75266,180.0558,Id_213
213,199.73201,199.73201,198.17928,199.51732,Id_214
214,291.45038,291.45038,291.6227,291.82346,Id_215
215,195.82957,195.82957,195.71498,197.47223,Id_216
216,205.5499,205.5499,205.79514,207.23645,Id_217
217,205.96548,205.96548,206.46057,207.49582,Id_218
218,190.42989,190.42989,190.29875,191.61739,Id_219
219,234.08266,234.08266,234.12437,233.54832,Id_220
220,233.66823,233.66823,233.26668,233.5847,Id_221
221,188.23846,188.23846,189.60081,189.86955,Id_222
222,176.91396,176.91396,176.38174,176.11244,Id_223
223,190.9222,190.9222,186.75116,187.38187,Id_224
224,209.5425,209.5425,209.39642,208.0273,Id_225
225,272.05484,272.05484,272.07095,272.0759,Id_226
226,196.54114,196.54114,196.7537,198.4552,Id_227
227,184.21082,184.21082,184.19678,184.63419,Id_228
228,256.89218,256.89218,256.60898,257.32416,Id_229
229,134.48535,134.48535,134.48085,134.74475,Id_230
230,191.60901,191.60901,188.02663,192.16415,Id_231
231,234.70921,234.70921,236.16115,235.19916,Id_232
232,279.8092,279.8092,284.14618,279.78757,Id_233
233,275.94815,275.94815,280.41376,270.40195,Id_234
234,226.63637,226.63637,227.39099,226.98175,Id_235
235,336.5467,336.5467,335.6622,336.95743,Id_236
236,204.47212,204.47212,202.75833,206.22525,Id_237
237,187.63416,187.63416,191.95407,191.18314,Id_238
238,331.85318,331.85318,331.56094,331.73633,Id_239
239,217.22884,217.22884,215.22737,214.4,Id_240
240,229.24396,229.24396,228.7455,227.90259,Id_241
241,329.01532,329.01532,328.96555,328.4129,Id_242
242,236.40111,236.40111,236.44644,238.10419,Id_243
243,277.5938,277.5938,277.46906,276.85107,Id_244
244,258.24588,258.24588,258.50595,258.33746,Id_245
245,172.87553,172.87553,171.66237,171.56099,Id_246
246,167.9602,167.9602,166.70139,166.99385,Id_247
247,228.645,228.645,226.1225,228.68866,Id_248
248,144.43161,144.43161,144.82347,143.57542,Id_249
249,172.91055,172.91055,173.02313,172.12904,Id_250
250,210.7683,210.7683,213.97377,211.16801,Id_251
251,285.40515,285.40515,285.5072,285.34793,Id_252
252,161.47241,161.47241,161.86261,162.49602,Id_253
253,284.97467,284.97467,284.63803,284.38504,Id_254
254,274.57953,274.57953,274.6633,274.6479,Id_255
255,166.41867,166.41867,166.3687,166.7084,Id_256
256,210.14935,210.14935,209.81848,210.3456,Id_257
257,282.02597,282.02597,282.6516,281.81085,Id_258
258,195.84497,195.84497,196.60164,196.78023,Id_259
259,272.37704,272.37704,272.2457,272.22415,Id_260
260,212.90114,212.90114,212.29678,212.78778,Id_261
261,260.37778,260.37778,260.29834,260.30518,Id_262
262,185.39575,185.39575,183.98734,185.19807,Id_263
263,194.90501,194.90501,195.13033,196.27238,Id_264
264,143.70618,143.70618,143.45871,142.6417,Id_265
265,197.5722,197.5722,197.68231,198.14328,Id_266
266,300.0325,300.0325,300.05063,299.52368,Id_267
267,240.77516,240.77516,239.83994,241.42964,Id_268
268,172.18272,172.18272,171.81233,171.50282,Id_269
269,313.78168,313.78168,313.60205,313.3117,Id_270
270,169.84264,169.84264,169.42638,169.63972,Id_271
271,311.436,311.436,312.22012,311.80667,Id_272
272,211.94025,211.94025,213.36124,212.6633,Id_273
273,252.58636,252.58636,252.88391,253.12857,Id_274
